"","Docket","Term","Circuit","Issue","Petitioner","Respondent","LowerCourt","Unconst","Reverse"
"446","93-7901",1994,"8th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,1
"447","93-7927",1994,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,1
"449","94-6790",1994,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,1
"453","95-8836",1995,"11th","JudicialPower","CRIMINAL.DEFENDENT","STATE","conser",1,0
"455","96-5658",1996,"11th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,1
"457","96-6133",1996,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,1
"458","96-6298",1996,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,1
"460","96-1584",1997,"5th","DueProcess","CRIMINAL.DEFENDENT","STATE","conser",1,1
"461","96-7171",1997,"8th","DueProcess","CRIMINAL.DEFENDENT","STATE","conser",1,1
"463","96-8400",1997,"4th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",1,1
"465","97-6146",1997,"FED","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",1,1
"466","97-7213",1998,"3rd","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,0
"469","98-5881",1998,"4th","DueProcess","CRIMINAL.DEFENDENT","STATE","conser",1,1
"471","98-7540",1999,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",1,1
"472","98-8384",1999,"4th","CivilRights","CRIMINAL.DEFENDENT","STATE","conser",0,1
"474","99-5746",1999,"4th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",1,1
"475","99-6615",1999,"4th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",0,1
"477","00-5250",2000,"4th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",1,1
"479","00-6677",2000,"5th","DueProcess","CRIMINAL.DEFENDENT","STATE","conser",1,1
"481","99-1408",2000,"5th","JudicialPower","CRIMINAL.DEFENDENT","STATE","conser",1,1
"485","00-6933",2001,"8th","DueProcess","CRIMINAL.DEFENDENT","STATE","conser",1,1
"486","00-9280",2001,"4th","CriminalProcedure","CRIMINAL.DEFENDENT","STATE","conser",1,1
"487","95-974",1996,"9th","FirstAmendment","EMPLOYEE","STATE","conser",0,0
"488","98-436",1998,"1st","Unions","EMPLOYEE","STATE","conser",0,1
"489","94-12",1995,"11th","CivilRights","AMERICAN.INDIAN","STATE","conser",0,1
"490","94-8729",1995,"6th","DueProcess","OTHER","STATE","conser",1,1
"491","95-5207",1995,"10th","CriminalProcedure","OTHER","STATE","conser",1,1
"492","95-1598",1996,"10th","DueProcess","OTHER","STATE","liberal",0,0
"493","98-1856",1999,"10th","FirstAmendment","OTHER","STATE","liberal",1,0
"495","95-2031",1996,"5th","CivilRights","POLITICIAN","STATE","conser",0,1
"496","98-818",1999,"9th","CivilRights","POLITICIAN","STATE","liberal",1,0
"497","94-1941",1995,"4th","CivilRights","US","STATE","conser",1,1
"499","99-116",1999,"11th","CivilRights","BUSINESS","US","liberal",1,0
"500","99-244",1999,"FED","EconomicActivity","BUSINESS","US","liberal",0,0
"501","99-859",2000,"9th","EconomicActivity","BUSINESS","US","conser",0,1
"502","93-6892",1994,"10th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,1
"503","94-6187",1994,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"505","94-7427",1995,"10th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"506","94-7448",1995,"DC","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"507","94-8769",1995,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"508","94-9088",1995,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"510","95-5257",1995,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,1
"511","95-5661",1995,"3rd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"512","95-5841",1995,"DC","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,0
"513","95-6465",1995,"2nd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"514","95-6556",1996,"9th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,1
"515","96-203",1996,"11th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,0
"516","96-1279",1997,"11th","DueProcess","CRIMINAL.DEFENDENT","US","conser",1,0
"517","96-1579",1997,"2nd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"518","96-1654",1997,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"519","96-7151",1997,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,1
"520","96-7185",1997,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"522","96-8422",1997,"2nd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"523","96-8516",1997,"8th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"524","96-8732",1997,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,0
"525","96-8986",1997,"8th","JudicialPower","CRIMINAL.DEFENDENT","US","conser",0,1
"526","96-976",1997,"10th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"528","97-6203",1998,"9th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"529","97-7164",1998,"2nd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"530","97-7541",1998,"3rd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"532","97-9217",1998,"3rd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"533","97-9361",1998,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"534","98-9349",1999,"5th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"536","99-5525",1999,"4th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"537","99-5716",1999,"3rd","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,1
"541","99-8576",2000,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",1,1
"542","99-9073",2000,"7th","CriminalProcedure","CRIMINAL.DEFENDENT","US","conser",0,0
"544","95-232",1995,"5th","JudicialPower","EMPLOYEE","US","conser",0,1
"547","95-966",1996,"10th","JudicialPower","GOVERNMENT.OFFICIAL","US","liberal",0,0
"548","96-738",1997,"5th","CriminalProcedure","GOVERNMENT.OFFICIAL","US","conser",0,0
"549","98-1101",1999,"8th","FederalTaxation","GOVERNMENT.OFFICIAL","US","liberal",0,0
"550","98-1667",1999,"DC","FederalTaxation","GOVERNMENT.OFFICIAL","US","liberal",0,0
"553","94-172",1994,"6th","JudicialPower","OTHER","US","conser",0,1
"554","94-431",1994,"FED","JudicialPower","OTHER","US","conser",0,1
"555","94-1966",1995,"FED","JudicialPower","OTHER","US","conser",1,0
"557","96-262",1996,"FED","JudicialPower","OTHER","US","conser",0,0
"559","97-1192",1997,"DC","JudicialPower","OTHER","US","conser",0,1
"560","97-1985",1998,"11th","CriminalProcedure","OTHER","US","conser",1,0
"561","98-1828",1999,"2nd","CriminalProcedure","OTHER","US","conser",1,1
"562","99-5153",1999,"6th","CriminalProcedure","OTHER","US","conser",0,0
"563","99-804",2000,"5th","CriminalProcedure","OTHER","US","liberal",0,1
"564","99-8508",2000,"9th","CriminalProcedure","OTHER","US","conser",1,0
"565","97-29",1997,"DC","CivilRights","STATE","US","conser",0,0
"566","00-189",2000,"9th","CivilRights","STATE","US","liberal",0,0
