name,city,state,adm_rate,undergrads,cost,compl_4,median_hh_inc,median_earnings
Southern Illinois University-Edwardsville,Edwardsville,IL,0.8822,11717,22278,0.2632,59952.94,41000
Trinity Christian College,Palos Heights,IL,0.8769,1152,37417,0.5124,74534.57,42000
Trinity International University-Illinois,Deerfield,IL,0.6631,838,39500,0.329,72368.27,41000
Western Illinois University,Macomb,IL,0.6007,9141,25234,0.3154,67698,41500
Wheaton College,Wheaton,IL,0.7052,2447,43715,0.8081,81885.15,45200
Wheaton College,Wheaton,IL,0.7052,2447,43715,0.8081,79554.03,46700
Wheaton College,Norton,MA,0.6455,1565,60040,0.7612,81885.15,45200
Wheaton College,Norton,MA,0.6455,1565,60040,0.7612,79554.03,46700
Anderson University,Anderson,IN,0.5962,1760,39132,0.4351,64040.72,36300
Anderson University,Anderson,IN,0.5962,1760,39132,0.4351,56100.72,34300
Anderson University,Anderson,SC,0.5494,2632,38307,0.4311,64040.72,36300
Anderson University,Anderson,SC,0.5494,2632,38307,0.4311,56100.72,34300
Ball State University,Muncie,IN,0.605,15689,22294,0.4055,62817.43,39400
Bethel College-Indiana,Mishawaka,IN,0.6646,1436,35605,0.5769,61051.82,35500
Butler University,Indianapolis,IN,0.7043,4001,50538,0.5307,71968.39,54700
DePauw University,Greencastle,IN,0.6476,2229,56146,0.7573,72050.75,50700
Earlham College,Richmond,IN,0.6163,935,54470,0.6007,66410.88,34500
University of Evansville,Evansville,IN,0.6974,2125,44416,0.579,61532.75,40300
Franklin College,Franklin,IN,0.698,1031,40255,0.5505,61682.88,41200
Goshen College,Goshen,IN,0.6587,756,40196,0.5294,61693.43,37000
Grace College and Theological Seminary,Winona Lake,IN,0.7738,1588,34089,0.5778,63627.14,35400
Hanover College,Hanover,IN,0.6128,1127,45338,0.6451,64885.98,42500
Holy Cross College,Notre Dame,IN,0.906,544,38323,0.1405,72725.39,36300
Huntington University,Huntington,IN,0.8392,926,35994,0.568,63046.08,34000
Indiana University-Purdue University-Fort Wayne,Fort Wayne,IN,0.9216,8746,17229,0.0746,61940.3,35200
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,0.6967,21217,20257,0.1905,64749.24,41000
Harrison College-Indianapolis,Indianapolis,IN,1,3039,26279,0.0741,56470.29,23600
University of Indianapolis,Indianapolis,IN,0.7341,4139,37957,0.4232,63891.1,40300
Indiana Institute of Technology,Fort Wayne,IN,0.696,6783,36184,0.1852,60972.77,41200
University of Southern Indiana,Evansville,IN,0.6933,7950,16936,0.2078,57279.45,35200
Indiana State University,Terre Haute,IN,0.8549,10737,20048,0.2187,56049.16,36700
Indiana University-Kokomo,Kokomo,IN,0.7132,2778,16179,0.1285,60071.06,35100
Indiana University-South Bend,South Bend,IN,0.7621,5165,16511,0.0622,59249.25,33400
Indiana University-Bloomington,Bloomington,IN,0.7799,32694,24326,0.6012,70094.49,46100
Indiana University-Northwest,Gary,IN,0.7928,4117,14108,0.0985,61713.1,35900
Indiana University-Southeast,New Albany,IN,0.8456,5228,16776,0.0821,57669.69,35700
Indiana University-East,Richmond,IN,0.6224,3173,15905,0.1425,51277.14,30100
International Business College-Fort Wayne,Fort Wayne,IN,0.7685,340,22115,0.76,58726.19,27000
ITT Technical Institute-Indianapolis,Indianapolis,IN,0.8027,2395,27794,0.0426,61232.2,38800
Manchester University,North Manchester,IN,0.7063,1240,40232,0.4648,60877.57,38800
Marian University,Indianapolis,IN,0.5611,1969,41872,0.3301,65206.92,42800
Marian University,Indianapolis,IN,0.5611,1969,41872,0.3301,63695.21,39700
Marian University,Fond Du Lac,WI,0.839,1538,35597,0.2785,65206.92,42800
Marian University,Fond Du Lac,WI,0.839,1538,35597,0.2785,63695.21,39700
Indiana Wesleyan University-Marion,Marion,IN,0.9521,10000,34922,0.5138,62930.13,48100
University of Notre Dame,Notre Dame,IN,0.198,8425,62427,0.9085,76710.92,71600
Oakland City University,Oakland City,IN,0.5529,548,36490,0.3165,52931.31,34200
Purdue University-Calumet Campus,Hammond,IN,0.6463,7242,17034,0.0893,61126.89,37800
Purdue University-North Central Campus,Westville,IN,0.484,3065,14312,0.0548,65416.73,37100
Rose-Hulman Institute of Technology,Terre Haute,IN,0.5779,2231,58740,0.6782,67724.52,79200
University of Saint Francis-Fort Wayne,Fort Wayne,IN,0.9526,1745,33930,0.3658,63802.5,38400
Saint Josephs College,Rensselaer,IN,0.7118,1048,38229,0.425,63422.14,40100
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,0.5936,579,40799,0.4674,56558.81,30900
Saint Mary's College,Notre Dame,IN,0.8037,1559,49078,0.7471,72879.94,46100
Taylor University,Upland,IN,0.8508,1887,40960,0.7095,68822.46,36000
Trine University,Angola,IN,0.7765,1713,46275,0.3794,60275.33,41700
Valparaiso University,Valparaiso,IN,0.819,3125,45945,0.5529,72576.06,48700
Wabash College,Crawfordsville,IN,0.6143,866,48980,0.702,66824.54,53600
Buena Vista University,Storm Lake,IA,0.6808,1873,42045,0.428,51579.73,38800
Central College,Pella,IA,0.6428,1225,46645,0.5973,59591.09,43200
Clarke University,Dubuque,IA,0.7192,864,41249,0.4795,57836.44,40000
Coe College,Cedar Rapids,IA,0.6335,1337,48923,0.5969,61192.02,44100
Cornell College,Mount Vernon,IA,0.7045,1035,50804,0.6537,67428.42,41200
Dordt College,Sioux Center,IA,0.6982,1357,39928,0.6087,61155.28,39100
Drake University,Des Moines,IA,0.6687,3269,46087,0.6531,70375.31,56800
University of Dubuque,Dubuque,IA,0.7742,1834,37397,0.3302,58943.3,38400
Emmaus Bible College,Dubuque,IA,0.3472,232,24900,0.2593,63394.45,30700
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,0.6423,214,26773,0.3548,57604.15,32800
Graceland University-Lamoni,Lamoni,IA,0.4789,1373,37314,0.3426,56137.53,37400
Grand View University,Des Moines,IA,0.9821,1889,33745,0.3087,62140.86,41800
Grinnell College,Grinnell,IA,0.2491,1663,59317,0.7931,70311.1,44300
Iowa State University,Ames,IA,0.8715,29520,18943,0.4067,61269.08,48600
Iowa Wesleyan University,Mount Pleasant,IA,0.4963,455,38602,0.1623,55010.75,35700
University of Iowa,Iowa City,IA,0.8074,21970,20861,0.511,63769.8,50200
Loras College,Dubuque,IA,0.9496,1444,39999,0.5659,66273.98,42400
Luther College,Decorah,IA,0.6689,2286,49758,0.6865,65739.49,43500
Maharishi University of Management,Fairfield,IA,0.369,344,38630,0.2439,60879.44,23300
Morningside College,Sioux City,IA,0.5599,1298,39360,0.5415,54990.75,42400
Mount Mercy University,Cedar Rapids,IA,0.6065,1535,39174,0.5067,61693.27,43900
University of Northern Iowa,Cedar Falls,IA,0.7953,9934,19907,0.3769,56117.97,42800
Northwestern College,Orange City,IA,0.7212,1084,40598,0.571,58600.59,37200
Saint Ambrose University,Davenport,IA,0.7298,2461,40815,0.5147,63314.56,44700
Simpson College,Indianola,IA,0.8946,1592,44863,0.6179,60274.33,44400
Upper Iowa University,Fayette,IA,0.66,4022,37846,0.2961,57565.93,40500
Waldorf University,Forest City,IA,0.6609,1715,31319,0.2394,57010.8,36100
Wartburg College,Waverly,IA,0.7382,1497,47387,0.6555,58222.9,42900
William Penn University,Oskaloosa,IA,0.575,1459,34464,0.1637,58579.66,40000
Baker University,Baldwin City,KS,0.8162,1523,40230,0.4202,67758.92,49800
Benedictine College,Atchison,KS,0.9915,1868,39124,0.5561,64485.18,39100
Bethany College,Lindsborg,KS,0.9927,630,36507,0.3432,57710.76,39500
Bethany College,Lindsborg,KS,0.9927,630,36507,0.3432,53018.22,39100
Bethany College,Bethany,WV,0.7021,700,39172,0.279,57710.76,39500
Bethany College,Bethany,WV,0.7021,700,39172,0.279,53018.22,39100
Bethel College-North Newton,North Newton,KS,0.5325,525,36202,0.5326,58345.11,39900
Emporia State University,Emporia,KS,0.8698,3730,16681,0.2182,56675.47,36600
Fort Hays State University,Hays,KS,0.8588,11503,15920,0.1864,50801.46,37100
Barclay College,Haviland,KS,0.7474,233,27931,0.3,57474.39,28000
Friends University,Wichita,KS,0.5849,1266,32479,0.2857,60343.56,41600
University of Kansas,Lawrence,KS,0.9347,18784,23733,0.3747,70891.42,46500
Newman University,Wichita,KS,0.5627,1126,32407,0.3161,62008.99,43500
Kansas State University,Manhattan,KS,0.9492,19443,22002,0.2858,59909.03,43800
Kansas Wesleyan University,Salina,KS,0.6161,665,37437,0.3111,54592.99,39200
Manhattan Christian College,Manhattan,KS,0.8218,294,26404,0.2941,58385.25,31800
McPherson College,McPherson,KS,0.7271,643,37000,0.4118,59250.54,41400
MidAmerica Nazarene University,Olathe,KS,0.6136,1329,35342,0.4213,69737.68,40800
Ottawa University-Ottawa,Ottawa,KS,0.4092,625,38232,0.3667,65346.8,40100
Pittsburg State University,Pittsburg,KS,0.8135,5700,16485,0.2322,50242.27,38100
University of Saint Mary,Leavenworth,KS,0.4904,795,35171,0.3333,62613.14,37100
Sterling College,Sterling,KS,0.4141,661,32261,0.2692,58015.54,34400
Sterling College,Craftsbury Common,VT,0.6952,115,44988,0.32,58015.54,34400
Tabor College,Hillsboro,KS,0.5541,669,38080,0.3357,57538.37,41200
Wichita State University,Wichita,KS,0.9473,11048,17119,0.1829,60078.99,39600
Alice Lloyd College,Pippa Passes,KY,0.3511,616,22495,0.1588,31403.34,31300
Asbury University,Wilmore,KY,0.5685,1534,35968,0.5333,61842.48,35100
Bellarmine University,Louisville,KY,0.8394,2584,49531,0.505,65601.28,46000
Berea College,Berea,KY,0.3651,1593,34180,0.445,47532.74,31800
Brescia University,Owensboro,KY,0.4794,1023,28535,0.126,50402.08,37400
Campbellsville University,Campbellsville,KY,0.7557,2098,33700,0.2619,47586.61,32400
Centre College,Danville,KY,0.7117,1355,49258,0.8283,64052.84,44100
University of the Cumberlands,Williamsburg,KY,0.6828,1818,33443,0.2362,44968.88,32900
Eastern Kentucky University,Richmond,KY,0.7063,13493,19076,0.2359,47617.36,34800
Georgetown College,Georgetown,KY,0.6769,975,44780,0.4921,56937.11,40400
Kentucky State University,Frankfort,KY,0.3792,1286,17984,0.059,51636.62,28600
Kentucky Wesleyan College,Owensboro,KY,0.6421,691,33542,0.348,52095.32,34000
University of Kentucky,Lexington,KY,0.8911,22247,24738,0.3539,59287.73,43000
Kentucky Christian University,Grayson,KY,0.3629,529,29684,0.2681,53919.37,31400
University of Louisville,Louisville,KY,0.7169,14844,23873,0.2549,59042.66,40300
Midway University,Midway,KY,0.4559,928,35900,0.4,50374.83,35600
Morehead State University,Morehead,KY,0.8539,7038,18898,0.2025,42103.85,31400
Murray State University,Murray,KY,0.906,7891,17243,0.2412,48948.11,35700
Northern Kentucky University,Highland Heights,KY,0.9189,11302,16212,0.1576,63568.77,36200
University of Pikeville,Pikeville,KY,1,1244,33701,0.2171,35782.96,28400
Saint Catharine College,Saint Catharine,KY,0.7771,539,35790,0.1905,49630.49,29800
Spalding University,Louisville,KY,0.501,1122,32231,0.0617,55916.29,43700
Thomas More College,Crestview Hills,KY,0.8831,1308,37801,0.3355,64733.74,46100
Transylvania University,Lexington,KY,0.9265,1052,45458,0.6667,57136.1,41700
Union College,Barbourville,KY,0.6918,794,34038,0.1316,38949.24,31000
Union College,Barbourville,KY,0.6918,794,34038,0.1316,60804.76,40400
Union College,Barbourville,KY,0.6918,794,34038,0.1316,79161.97,63200
Union College,Lincoln,NE,0.5614,762,32465,0.243,38949.24,31000
Union College,Lincoln,NE,0.5614,762,32465,0.243,60804.76,40400
Union College,Lincoln,NE,0.5614,762,32465,0.243,79161.97,63200
Union College,Schenectady,NY,0.3831,2206,62038,0.8192,38949.24,31000
Union College,Schenectady,NY,0.3831,2206,62038,0.8192,60804.76,40400
Union College,Schenectady,NY,0.3831,2206,62038,0.8192,79161.97,63200
Western Kentucky University,Bowling Green,KY,0.927,15119,17706,0.2732,50387.75,33800
Centenary College of Louisiana,Shreveport,LA,0.6707,520,49742,0.4604,58549.24,44700
Dillard University,New Orleans,LA,0.4761,1185,29101,0.2586,51069.58,32800
Grambling State University,Grambling,LA,0.3823,3567,23455,0.1945,44602.47,28000
Louisiana State University-Alexandria,Alexandria,LA,0.6779,2488,13455,0.1233,39416.07,33000
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,0.7734,24904,22798,0.3817,57504.74,47600
Louisiana State University-Shreveport,Shreveport,LA,0.7555,2442,16072,0.142,47946.96,34600
Louisiana College,Pineville,LA,0.6944,881,23485,0.1885,46322.14,40500
Louisiana Tech University,Ruston,LA,0.6384,7629,18031,0.3162,46738.12,41000
Loyola University New Orleans,New Orleans,LA,0.9031,2572,49813,0.5352,67759.61,46100
McNeese State University,Lake Charles,LA,0.8205,6511,16571,0.2124,47295.56,37300
University of New Orleans,New Orleans,LA,0.5766,6185,17489,0.1474,51940.24,37800
Nicholls State University,Thibodaux,LA,0.902,5254,17915,0.1767,49304.74,36000
University of Louisiana at Monroe,Monroe,LA,0.8765,5957,16944,0.1859,43063.22,36800
Northwestern State University of Louisiana,Natchitoches,LA,0.8397,6836,18749,0.2014,43125.41,33500
University of Holy Cross,New Orleans,LA,1,845,16783,0.1389,52742.13,39500
Our Lady of the Lake College,Baton Rouge,LA,0.5272,1436,21067,0.3333,54007.12,45100
Southeastern Louisiana University,Hammond,LA,0.8795,11024,16755,0.1448,53084.32,36000
Southern University and A & M College,Baton Rouge,LA,0.7856,5226,18884,0.0968,45854.37,33800
Southern University at New Orleans,New Orleans,LA,0.2145,2015,10754,0.019,43920.92,28200
University of Louisiana at Lafayette,Lafayette,LA,0.5527,15091,17007,0.1461,47090.8,38300
Tulane University of Louisiana,New Orleans,LA,0.305,7841,62856,0.7247,69803.28,56200
Xavier University of Louisiana,New Orleans,LA,0.6575,2344,31444,0.2306,55657.89,47900
College of the Atlantic,Bar Harbor,ME,0.755,333,51471,0.5921,66849.39,24300
Bates College,Lewiston,ME,0.2178,1792,62770,0.8252,77753.31,55700
Bowdoin College,Brunswick,ME,0.1487,1794,61650,0.856,75490.21,58700
Colby College,Waterville,ME,0.2252,1857,61100,0.9061,80130.48,55000
University of Maine at Farmington,Farmington,ME,0.834,1766,21470,0.4312,55400.06,33800
University of Maine at Fort Kent,Fort Kent,ME,0.893,990,17895,0.2041,44056.6,33200
University of Maine,Orono,ME,0.9121,8677,22444,0.3325,54908.38,40800
Maine Maritime Academy,Castine,ME,0.6515,991,26069,0.4301,56725.03,84000
University of Maine at Presque Isle,Presque Isle,ME,0.7712,833,16148,0.2194,42576.12,29600
University of New England,Biddeford,ME,0.8514,2271,50090,0.6042,64934.4,45000
Maine College of Art,Portland,ME,0.9805,430,45772,0.6377,67354.3,24300
Saint Joseph's College of Maine,Standish,ME,0.7763,1634,45418,0.4457,63952.22,40100
University of Southern Maine,Portland,ME,0.8777,5359,21880,0.1299,58065.5,37900
Thomas College,Waterville,ME,0.924,861,35301,0.3351,52667.44,37100
Unity College,Unity,ME,0.9097,643,36585,0.4615,64564.47,33000
University of Baltimore,Baltimore,MD,0.5267,3307,21221,0.0977,65721.01,55100
Bowie State University,Bowie,MD,0.5747,4254,19865,0.1118,77046.6,46400
Capitol Technology University,Laurel,MD,0.9749,407,32821,0.1515,73053.75,70700
Washington Adventist University,Takoma Park,MD,0.3309,765,28981,0.15,69837.96,43900
Coppin State University,Baltimore,MD,0.3719,2633,16167,0.0536,54222.17,35000
Frostburg State University,Frostburg,MD,0.6346,4850,19682,0.2111,70221.41,43900
Goucher College,Baltimore,MD,0.7707,1466,55162,0.5704,82700.4,46700
Hood College,Frederick,MD,0.7861,1247,47719,0.5418,78949.51,42800
Johns Hopkins University,Baltimore,MD,0.1412,5862,63509,0.869,81539.46,69800
Loyola University Maryland,Baltimore,MD,0.6093,4031,59702,0.7645,92129.84,64800
University of Maryland-Baltimore County,Baltimore,MD,0.5942,11144,22873,0.3771,83010.29,54100
University of Maryland-College Park,College Park,MD,0.4488,26889,23889,0.695,90010.73,61700
Maryland Institute College of Art,Baltimore,MD,0.4735,1814,56547,0.6718,80395.11,35700
University of Maryland Eastern Shore,Princess Anne,MD,0.4906,3572,22081,0.1393,66039.83,36200
Morgan State University,Baltimore,MD,0.6672,6294,22422,0.096,63566.62,39200
Mount St Mary's University,Emmitsburg,MD,0.6715,1787,50084,0.6422,81781.05,53600
Notre Dame of Maryland University,Baltimore,MD,0.5192,1001,43494,0.4369,70799.46,47400
Salisbury University,Salisbury,MD,0.6063,7612,22574,0.4533,77177.93,47800
St Mary's College of Maryland,St. Mary's City,MD,0.7881,1684,28170,0.6728,85886.58,48100
St John's College,Annapolis,MD,0.7831,406,60228,0.6306,72041.37,34400
Towson University,Towson,MD,0.7338,18806,22506,0.4493,80470.71,49800
Stevenson University,Stevenson,MD,0.5974,3667,43657,0.4215,74334.54,49500
Washington College,Chestertown,MD,0.5407,1386,55995,0.7116,83448.41,45300
McDaniel College,Westminster,MD,0.7982,1613,49702,0.6333,83552.93,47900
American International College,Springfield,MA,0.6316,1478,43925,0.2486,62232.99,43200
Amherst College,Amherst,MA,0.1412,1795,64006,0.8817,82187.65,59700
Anna Maria College,Paxton,MA,0.8006,1123,49231,0.2547,69542.67,42900
Assumption College,Worcester,MA,0.7575,2184,48977,0.7049,80096.93,53000
Babson College,Wellesley,MA,0.263,2141,62440,0.8394,82978.89,91400
Boston Baptist College,Boston,MA,0.9231,71,29271,0.4667,68167.52,26000
Bay Path University,Longmeadow,MA,0.7726,1849,43270,0.4974,64235.27,41000
Becker College,Worcester,MA,0.6689,2036,47333,0.1703,68777.13,42100
Bentley University,Waltham,MA,0.4232,4137,58788,0.8321,82419.5,80600
Berklee College of Music,Boston,MA,0.2881,5112,59678,0.4545,77216.67,29100
Boston College,Chestnut Hill,MA,0.2851,9491,62968,0.8887,83893.95,70000
The Boston Conservatory,Boston,MA,0.4584,563,62431,0.5364,77283.73,29800
Boston University,Boston,MA,0.3262,16456,63588,0.7956,83140.68,62000
Brandeis University,Waltham,MA,0.3402,3610,63222,0.8013,85221.28,55300
Bridgewater State University,Bridgewater,MA,0.8071,9497,20886,0.2891,75059.92,43800
Laboure College,Milton,MA,0.5238,802,37805,1,67066.55,58700
Clark University,Worcester,MA,0.5507,2331,49958,0.7701,76163.05,44500
Curry College,Milton,MA,0.877,2691,50859,0.3804,77762.42,44900
Dean College,Franklin,MA,0.6736,1308,50563,0.5238,79806.03,31000
Eastern Nazarene College,Quincy,MA,0.6129,910,40479,0.3757,69305.79,42200
Emerson College,Boston,MA,0.4903,3783,55818,0.7762,80699.66,43700
Endicott College,Beverly,MA,0.7278,2970,45940,0.6661,81307.86,49800
Fisher College,Boston,MA,0.7018,1608,41977,0.1,64964.31,33200
Fitchburg State University,Fitchburg,MA,0.7476,4156,18837,0.2778,71253.32,41900
Framingham State University,Framingham,MA,0.7081,4288,22327,0.363,80769.61,45500
Gordon College,Wenham,MA,0.9323,1664,46520,0.6115,80002.32,39800
Hampshire College,Amherst,MA,0.7001,1396,61951,0.573,76753.95,31800
Harvard University,Cambridge,MA,0.0558,7333,62250,0.8574,76879.55,90900
College of the Holy Cross,Worcester,MA,0.3703,2698,59571,0.8928,82332.58,65200
Lasell College,Newton,MA,0.7815,1810,46281,0.4626,77012.29,39900
Lesley University,Cambridge,MA,0.671,1849,40652,0.413,73324.38,35900
University of Massachusetts-Lowell,Lowell,MA,0.5679,13092,24804,0.3102,76546.63,50800
University of Massachusetts-Amherst,Amherst,MA,0.5832,22405,26726,0.6583,78424.73,49700
University of Massachusetts-Boston,Boston,MA,0.6905,12397,20496,0.1652,68463.25,47000
MCPHS University,Boston,MA,0.8656,3877,47292,0.469,72630.13,112700
Massachusetts College of Art and Design,Boston,MA,0.7133,1736,26174,0.5223,75629.56,34600
Massachusetts Institute of Technology,Cambridge,MA,0.083,4474,61030,0.8199,77426.3,94200
Massachusetts Maritime Academy,Buzzards Bay,MA,0.7394,1537,23560,0.6284,77684.66,79300
Merrimack College,North Andover,MA,0.7897,3129,49386,0.6477,83052.53,54800
Mount Holyoke College,South Hadley,MA,0.5008,2099,56964,0.7839,79267.64,46100
Mount Ida College,Newton,MA,0.6326,1317,44888,0.3097,73378.33,38100
School of the Museum of Fine Arts at Tufts University,Boston,MA,0.9213,231,57591,0.3421,77337.71,28200
The New England Conservatory of Music,Boston,MA,0.3239,377,57575,0.6574,79026.66,26800
Newbury College,Brookline,MA,0.7914,861,41710,0.309,70920.55,36200
Nichols College,Dudley,MA,0.8268,1256,46888,0.3966,74980.59,48100
Massachusetts College of Liberal Arts,North Adams,MA,0.7341,1423,21019,0.3429,64342.86,34900
Northeastern University,Boston,MA,0.2848,13620,60179,0,80190.89,64000
College of Our Lady of the Elms,Chicopee,MA,0.7488,1268,42763,0.5238,59687.78,44700
Pine Manor College,Chestnut Hill,MA,0.7094,448,39991,0.2286,58088.78,35600
Regis College,Weston,MA,0.8423,1235,51028,0.3882,71565.88,45300
Salem State University,Salem,MA,0.749,7091,21802,0.2724,71187,41000
Simmons College,Boston,MA,0.5757,1717,53389,0.6667,77652.59,49000
Smith College,Northampton,MA,0.3789,2471,62300,0.815,74581.14,44900
Springfield College,Springfield,MA,0.6415,2134,47322,0.6263,64281.13,43000
University of Massachusetts-Dartmouth,North Dartmouth,MA,0.7626,7054,24539,0.2775,72067.31,46600
Stonehill College,Easton,MA,0.7517,2387,53750,0.8258,81416.9,58700
Suffolk University,Boston,MA,0.8237,5352,47730,0.409,76214.79,51800
Tufts University,Medford,MA,0.161,5236,63358,0.8763,82793.69,66500
Wellesley College,Wellesley,MA,0.2985,2344,61088,0.8637,81018.79,60100
Wentworth Institute of Technology,Boston,MA,0.6667,4288,48907,0.4871,76699.8,60300
Western New England University,Springfield,MA,0.8094,2726,47793,0.4714,76363.81,54900
Westfield State University,Westfield,MA,0.7961,5459,20810,0.4717,72419.11,43900
Wheelock College,Boston,MA,0.9542,809,47997,0.5585,76696.63,36000
Williams College,Williamstown,MA,0.1761,2070,64020,0.8826,77966.2,54100
Worcester Polytechnic Institute,Worcester,MA,0.4855,4177,59110,0.7636,76076.15,82600
Worcester State University,Worcester,MA,0.6857,5049,19482,0.3247,68531.82,45600
Adrian College,Adrian,MI,0.6103,1622,44646,0.3634,66915.1,36900
Albion College,Albion,MI,0.798,1360,49371,0.5553,71425.7,46200
Alma College,Alma,MI,0.6757,1345,46606,0.4895,61676.21,42800
Andrews University,Berrien Springs,MI,0.3921,1513,36206,0.2649,63096.48,38200
Aquinas College,Grand Rapids,MI,0.7241,1692,37554,0.393,64829.33,35500
Aquinas College,Grand Rapids,MI,0.7241,1692,37554,0.393,64143.08,45000
Aquinas College,Nashville,TN,0.5191,335,30083,0.25,64829.33,35500
Aquinas College,Nashville,TN,0.5191,335,30083,0.25,64143.08,45000
Calvin College,Grand Rapids,MI,0.7427,3788,42078,0.5726,70660.49,43300
Central Michigan University,Mount Pleasant,MI,0.6875,19954,22357,0.2278,66048.2,40200
Cleary University,Howell,MI,0.7231,455,19664,0.3846,81153.11,49200
Cleary University,Howell,MI,0.7231,455,19664,0.3846,81153.11,49200
Concordia University-Ann Arbor,Ann Arbor,MI,0.7027,637,37333,0.2188,70459.21,35800
College for Creative Studies,Detroit,MI,0.4961,1394,49452,0.3167,74293.04,40200
Davenport University,Grand Rapids,MI,0.8923,5774,25951,0.2888,56679.53,29400
University of Detroit Mercy,Detroit,MI,0.7292,2586,49675,0.4186,64142.33,46100
Eastern Michigan University,Ypsilanti,MI,0.7478,17275,19570,0.1311,69989,37500
Ferris State University,Big Rapids,MI,0.7818,12571,21680,0.2091,61040.62,42700
Kettering University,Flint,MI,0.701,1802,52917,0.0731,70813.57,78600
Grace Bible College,Wyoming,MI,0.8132,789,20786,0.3333,62527.83,28100
Cornerstone University,Grand Rapids,MI,0.7298,1912,36033,0.4349,63718.46,36400
Grand Valley State University,Allendale,MI,0.8114,21889,21541,0.3668,67198.25,41000
Hope College,Holland,MI,0.7204,3254,41075,0.6413,72371.25,43500
Kalamazoo College,Kalamazoo,MI,0.7165,1415,52654,0.768,74950.12,47800
Lake Superior State University,Sault Ste Marie,MI,0.9189,2095,19944,0.1729,53637.55,36200
Lawrence Technological University,Southfield,MI,0.5529,2134,42707,0.3105,73119.88,55400
Madonna University,Livonia,MI,0.5988,2712,25835,0.2865,72787.1,39600
Marygrove College,Detroit,MI,0.5749,676,28334,0.0685,51580.09,27700
Rochester College,Rochester Hills,MI,0.5789,995,27741,0.1825,72043.03,34400
University of Michigan-Ann Arbor,Ann Arbor,MI,0.2628,28120,26850,0.7481,77145.9,60100
Michigan State University,East Lansing,MI,0.6628,38853,24976,0.5071,72140.18,51500
Michigan Technological University,Houghton,MI,0.7544,5623,26306,0.2253,61737.2,64700
University of Michigan-Dearborn,Dearborn,MI,0.6227,6845,18464,0.1648,67620.59,46600
University of Michigan-Flint,Flint,MI,0.7358,6255,19927,0.108,64807.7,40000
Northern Michigan University,Marquette,MI,0.6988,7278,19585,0.2153,57050.02,34000
Northwood University,Midland,MI,0.6939,2904,36088,0.4201,64809.96,45100
Oakland University,Rochester Hills,MI,0.8039,16392,19475,0.1567,78696.54,41900
Olivet College,Olivet,MI,0.5687,917,34559,0.2636,62696.44,36400
Kuyper College,Grand Rapids,MI,0.7116,255,27891,0.4925,68721.86,27200
Saginaw Valley State University,University Center,MI,0.7614,8434,18983,0.1024,57827.75,37600
Siena Heights University,Adrian,MI,0.7749,2378,33761,0.2146,63208.96,38900
Spring Arbor University,Spring Arbor,MI,0.6889,2310,35132,0.357,61521.97,38900
Finlandia University,Hancock,MI,0.4595,506,31447,0.1683,47498.69,30800
Wayne State University,Detroit,MI,0.7987,16728,21588,0.1063,61912.62,39900
Western Michigan University,Kalamazoo,MI,0.8238,18179,22561,0.2271,69141.32,43700
Augsburg College,Minneapolis,MN,0.5918,2430,46545,0.4267,72224.74,47300
Bemidji State University,Bemidji,MN,0.938,4380,18941,0.277,55158.96,39600
Bethany Lutheran College,Mankato,MN,0.853,492,33807,0.3916,62776.68,34600
Bethel University,Saint Paul,MN,0.9491,2875,45532,0.6296,77038.37,45100
Bethel University,Saint Paul,MN,0.9491,2875,45532,0.6296,50031.89,38100
Bethel University,McKenzie,TN,0.8399,4363,29416,0.2848,77038.37,45100
Bethel University,McKenzie,TN,0.8399,4363,29416,0.2848,50031.89,38100
Carleton College,Northfield,MN,0.2065,1995,62465,0.9091,71070.84,52600
Concordia College at Moorhead,Moorhead,MN,0.7818,2104,44336,0.6331,60523.09,42400
Concordia University-Saint Paul,Saint Paul,MN,0.5543,2289,30423,0.306,71270.22,50700
Martin Luther College,New Ulm,MN,0.7786,747,23120,0.5,64939.16,36900
Gustavus Adolphus College,Saint Peter,MN,0.6706,2369,51498,0.8101,72113.21,48400
Hamline University,Saint Paul,MN,0.7239,2167,46670,0.5338,70958.04,47600
Macalester College,Saint Paul,MN,0.3902,2149,59743,0.8528,71692.75,45300
Minnesota State University-Mankato,Mankato,MN,0.6663,12259,18577,0.2187,66314.89,43100
Metropolitan State University,Saint Paul,MN,1,7244,20501,0.0854,69981.95,46000
University of Minnesota-Twin Cities,Minneapolis,MN,0.4458,30511,24823,0.5925,70741.62,49800
University of Minnesota-Crookston,Crookston,MN,0.7676,1874,22317,0.3158,55080.02,41300
Minneapolis College of Art and Design,Minneapolis,MN,0.6601,668,44887,0.5741,70094.27,34500
Herzing University-Minneapolis,Minneapolis,MN,0.9268,288,27477,0.3333,71504.15,40300
Crossroads College,Rochester,MN,0.7941,80,26710,0.2414,60390.04,31500
University of Minnesota-Duluth,Duluth,MN,0.7596,8929,23099,0.3502,68076.22,45300
University of Minnesota-Morris,Morris,MN,0.598,1741,23141,0.5099,63548.87,39500
Minnesota State University Moorhead,Moorhead,MN,0.773,5045,19032,0.2287,54641.42,38000
